exp_name,date,refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,temp,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,1,361,0,1,0,3,1.0,0.0,0.0,0.9588436,1.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,2,361,0,1,0,3,1.0,1.0,0.0,0.8350192,1.0,0.006956757690467928
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,3,361,0,2,1,3,1.0,2.0,0.0,0.9126826,0.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,4,361,0,1,0,3,1.0,3.0,0.0,0.8051728,1.0,0.004682600487639664
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,5,361,0,1,0,3,1.0,4.0,0.0,0.8396811,1.0,0.0034115464546677645
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,6,361,0,2,0,3,1.0,5.0,0.0,0.7235835,1.0,0.03193728503137525
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,7,361,0,1,1,3,1.0,6.0,0.0,0.9833988,0.0,0.002690292041773133
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,8,361,0,2,1,3,1.0,7.0,1.0,0.5230379,1.0,0.025185242205390552
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,9,361,0,1,1,3,1.0,8.0,0.0,0.7460379,0.0,0.0052730639366930995
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,10,361,0,1,0,3,1.0,9.0,0.0,0.7813856,1.0,0.013106251877668104
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,11,361,0,1,1,3,1.0,10.0,1.0,0.7509969,1.0,0.009361527229880708
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,12,361,0,1,1,3,1.0,11.0,1.0,0.8490487,1.0,0.007833986305419286
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,13,361,0,2,0,3,1.0,12.0,0.0,0.6121022,1.0,0.020662660803773863
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,14,361,0,1,0,3,1.0,13.0,1.0,1.0070877,0.0,0.006956757690467928
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,15,361,0,1,1,3,1.0,14.0,1.0,0.7981621,1.0,0.011186921786571522
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,16,361,0,2,1,3,1.0,15.0,1.0,0.6168006,1.0,0.017636741035637882
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,17,361,0,1,1,3,1.0,16.0,0.0,0.9016943,0.0,0.009361527229880708
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,18,361,0,1,1,3,1.0,17.0,1.0,0.6265482,1.0,0.01566182643816842
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,19,361,0,1,0,3,1.0,18.0,0.0,0.956066,1.0,0.013635481770871715
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,20,361,0,1,0,3,1.0,19.0,1.0,1.5609763,0.0,0.011871307848915111
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,21,361,0,1,1,3,1.0,20.0,1.0,0.6122845,1.0,0.018715709851209905
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,22,361,0,1,1,3,1.0,21.0,1.0,0.5661876,1.0,0.01629425032339594
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,23,361,0,1,1,3,1.0,22.0,1.0,0.5389482,1.0,0.014469664207771075
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,24,361,0,2,1,3,1.0,23.0,1.0,0.4747367,1.0,0.015053948632856707
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,25,361,0,1,0,3,1.0,24.0,1.0,0.7642125,0.0,0.012849390314387626
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,26,361,0,1,0,3,1.0,25.0,0.0,0.5490778,1.0,0.017636741035637882
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,27,361,0,2,0,3,1.0,26.0,0.0,0.7623253,1.0,0.009934240517826544
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,28,361,0,2,0,3,1.0,27.0,0.0,1.3072144,1.0,0.00882183111215549
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,29,361,0,2,0,3,1.0,28.0,1.0,0.556889,0.0,0.007237671270027853
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,30,361,0,2,0,3,1.0,29.0,0.0,0.6612517,1.0,0.014469664207771075
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,31,361,0,2,1,3,1.0,30.0,1.0,0.9322662,1.0,0.012849390314387626
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,32,361,0,1,0,3,1.0,31.0,0.0,0.5385928,1.0,0.015974909092232634
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,33,361,0,1,1,3,1.0,32.0,1.0,1.0841479,1.0,0.014758915330012263
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,34,361,0,2,1,3,1.0,33.0,1.0,0.5940576,1.0,0.010541990878478093
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,35,361,0,2,0,3,1.0,34.0,1.0,0.8748622,0.0,0.009934240517826544
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,36,361,0,2,0,3,1.0,35.0,0.0,0.6742575,1.0,0.013908057440071123
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,37,361,0,2,0,3,1.0,36.0,0.0,0.5818976,1.0,0.013106251877668104
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,38,361,0,1,0,3,1.0,37.0,0.0,0.5925338,1.0,0.013908057440071123
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,39,361,0,2,1,3,1.0,38.0,1.0,0.5753128,1.0,0.012350670754779419
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,40,361,0,2,1,3,1.0,39.0,1.0,0.581155,1.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,41,361,0,2,0,3,1.0,40.0,0.0,0.6785471,1.0,0.010541990878478093
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,42,361,0,2,0,3,1.0,41.0,0.0,0.8197964,1.0,0.009934240517826544
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,43,361,0,2,0,3,1.0,42.0,1.0,0.690643,0.0,0.009178056277132024
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,44,361,0,1,1,3,1.0,43.0,1.0,0.5541175,1.0,0.012849390314387626
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,45,361,0,1,1,3,1.0,44.0,1.0,0.7207229,1.0,0.011871307848915111
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,46,361,0,2,0,3,1.0,45.0,0.0,0.8928521,1.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,47,361,0,2,1,3,1.0,46.0,1.0,0.6358538,1.0,0.011186921786571522
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,48,361,0,2,0,3,1.0,47.0,1.0,1.0373569,0.0,0.010752727122835341
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,49,361,0,2,1,3,1.0,48.0,1.0,0.8125844,1.0,0.0121086173723749
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,50,361,0,1,1,3,1.0,49.0,1.0,0.58496,1.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,51,361,0,2,1,3,1.0,50.0,1.0,0.4390404,1.0,0.011871307848915111
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,52,361,0,1,0,3,1.0,51.0,1.0,0.6930068,0.0,0.011186921786571522
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,53,361,0,1,1,3,1.0,52.0,1.0,0.5507902,1.0,0.013368248148594363
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,54,361,0,1,1,3,1.0,53.0,1.0,0.4611747,1.0,0.012849390314387626
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,55,361,0,1,0,3,1.0,54.0,0.0,0.7203161,1.0,0.012350670754779419
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,56,361,0,2,1,3,1.0,55.0,1.0,0.93858,1.0,0.011638649212356182
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,57,361,0,1,0,3,1.0,56.0,0.0,1.018515,1.0,0.011871307848915111
Contrast Stuff,2022_Oct_14_1127,100,1200,1920,49,2,1.5,False,53,female,Bea,fr,58,361,0,1,1,3,1.0,57.0,1.0,0.6573951,1.0,0.011410550312757525
