exp_name,date,refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,temp,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,1,0,0,1,1,2,1.0,0.0,1.0,1.5633411,1.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,2,0,0,2,1,2,1.0,1.0,1.0,1.598763,1.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,3,0,0,2,0,2,1.0,2.0,1.0,0.5938495,0.0,0.006956757690467928
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,4,0,0,1,1,2,1.0,3.0,0.0,0.6557106,0.0,0.006956757690467928
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,5,0,0,1,0,2,1.0,4.0,0.0,0.6929591,1.0,0.019860687103523404
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,6,0,0,2,1,2,1.0,5.0,1.0,0.5379654,1.0,0.019860687103523404
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,7,0,0,1,1,2,1.0,6.0,1.0,0.5538333,1.0,0.014758915330012263
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,8,0,0,2,0,2,1.0,7.0,1.0,0.7394091,0.0,0.014758915330012263
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,9,0,0,2,0,2,1.0,8.0,0.0,0.6537417,1.0,0.03131136535299098
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,10,0,0,2,1,2,1.0,9.0,1.0,0.7577893,1.0,0.0256886996089088
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,11,0,0,1,0,2,1.0,10.0,0.0,0.5184341,1.0,0.012350670754779419
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,12,0,0,1,1,2,1.0,11.0,1.0,0.7609047,1.0,0.010132827726011519
