exp_name,date,refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,temp,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,1,0,0,2,1,2,1.0,0.0,0.0,1.9778136,0.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,2,0,0,2,0,2,1.0,1.0,1.0,5.355408,0.0,0.03193728503137525
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,3,0,0,2,1,2,1.0,2.0,0.0,2.2579668,0.0,0.056699817612524815
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,4,0,0,1,0,2,1.0,3.0,0.0,2.4245305,1.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,5,0,0,1,1,2,1.0,4.0,0.0,1.2414556,0.0,0.006956757690467928
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,6,0,0,2,0,2,1.0,5.0,1.0,1.43126,0.0,0.08258581217385243
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,7,0,0,2,0,2,1.0,6.0,0.0,1.2213336,1.0,0.10682017746080334
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,8,0,0,1,1,2,1.0,7.0,0.0,1.3328229,0.0,0.019860687103523404
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,9,0,0,2,0,2,1.0,8.0,1.0,1.2973574,0.0,0.10267419772502775
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,10,0,0,2,1,2,1.0,9.0,0.0,1.6497453,0.0,0.12269453383446513
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,11,0,0,1,1,2,1.0,10.0,0.0,1.2529277,0.0,0.04297717079888272
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,12,0,0,2,1,2,1.0,11.0,1.0,1.5950127,1.0,0.14374512445218396
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,13,0,0,1,0,2,1.0,12.0,0.0,1.215313,1.0,0.06911010412134794
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,14,0,0,1,1,2,1.0,13.0,1.0,0.9146523,1.0,0.06259816529949601
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,15,0,0,2,0,2,1.0,14.0,0.0,0.7128214,1.0,0.13816598774541355
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,16,0,0,2,0,2,1.0,15.0,1.0,0.7789721,0.0,0.1328033924101259
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,17,0,0,2,1,2,1.0,16.0,1.0,1.288064,1.0,0.14954954646180463
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,18,0,0,1,1,2,1.0,17.0,1.0,1.0473179,1.0,0.056699817612524815
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,19,0,0,1,0,2,1.0,18.0,0.0,0.8787721,1.0,0.05238388541298659
