exp_name,date,refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,temp,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,1,90,0,1,0,1,1.0,0.0,1.0,0.462671,0.0,0.06016856135202387
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,2,90,0,2,0,1,1.0,1.0,0.0,0.3634516,1.0,0.06016856135202387
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,3,90,0,1,0,1,1.0,2.0,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,4,90,0,1,0,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,5,90,0,2,0,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,6,90,0,1,1,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,7,90,0,1,0,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,8,90,0,2,0,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,9,90,0,2,1,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,10,90,0,1,1,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,11,90,0,2,1,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,12,90,0,2,0,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,13,90,0,2,1,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,14,90,0,1,0,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,15,90,0,1,1,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,16,90,0,1,1,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,17,90,0,1,1,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,18,90,0,2,1,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,19,90,0,1,0,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,20,90,0,1,0,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,21,90,0,2,1,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,22,90,0,2,1,1,0.0,--,--,--,--,--
Contrast Stuff,2022_Oct_13_1409,100,1200,1920,49,3,2.5,False,,male,,fr,23,90,0,2,0,1,0.0,--,--,--,--,--
